provinsi,tahun,kategori,satuan,nilai
Gorontalo,2022,Ekspor Migas,Juta USD,0.0
Gorontalo,2022,Ekspor Non-Migas,Juta USD,103989.6
Gorontalo,2023,Ekspor Migas,Juta USD,0.0
Gorontalo,2023,Ekspor Non-Migas,Juta USD,110353.6
Gorontalo,2024,Ekspor Migas,Juta USD,0.0
Gorontalo,2024,Ekspor Non-Migas,Juta USD,120147.2
Gorontalo,2025,Ekspor Non-Migas,Juta USD,179563.0
Gorontalo,2026,Ekspor Non-Migas,Juta USD,37938.0
Sulawesi Barat,2022,Ekspor Migas,Juta USD,0.0
Sulawesi Barat,2022,Ekspor Non-Migas,Juta USD,944324.2
Sulawesi Barat,2023,Ekspor Migas,Juta USD,0.0
Sulawesi Barat,2023,Ekspor Non-Migas,Juta USD,945475.3
Sulawesi Barat,2024,Ekspor Migas,Juta USD,0.0
Sulawesi Barat,2024,Ekspor Non-Migas,Juta USD,867578.9
Sulawesi Barat,2025,Ekspor Non-Migas,Juta USD,1268445.2999999998
Sulawesi Barat,2026,Ekspor Non-Migas,Juta USD,300959.2
Sulawesi Selatan,2022,Ekspor Migas,Juta USD,0.0
Sulawesi Selatan,2022,Ekspor Non-Migas,Juta USD,5119339.6
Sulawesi Selatan,2023,Ekspor Migas,Juta USD,0.0
Sulawesi Selatan,2023,Ekspor Non-Migas,Juta USD,4681522.6
Sulawesi Selatan,2024,Ekspor Migas,Juta USD,0.0
Sulawesi Selatan,2024,Ekspor Non-Migas,Juta USD,4118605.5
Sulawesi Selatan,2025,Ekspor Migas,Juta USD,72032.8
Sulawesi Selatan,2025,Ekspor Non-Migas,Juta USD,3972146.5
Sulawesi Selatan,2026,Ekspor Non-Migas,Juta USD,773685.7
Sulawesi Tengah,2022,Ekspor Migas,Juta USD,3512560.1
Sulawesi Tengah,2022,Ekspor Non-Migas,Juta USD,34399946.4
Sulawesi Tengah,2023,Ekspor Migas,Juta USD,3314107.0
Sulawesi Tengah,2023,Ekspor Non-Migas,Juta USD,35457749.3
Sulawesi Tengah,2024,Ekspor Migas,Juta USD,3386824.4
Sulawesi Tengah,2024,Ekspor Non-Migas,Juta USD,39287665.0
Sulawesi Tengah,2025,Ekspor Migas,Juta USD,2338647.7
Sulawesi Tengah,2025,Ekspor Non-Migas,Juta USD,42293420.0
Sulawesi Tengah,2026,Ekspor Migas,Juta USD,546464.1
Sulawesi Tengah,2026,Ekspor Non-Migas,Juta USD,11860942.8
Sulawesi Tenggara,2022,Ekspor Migas,Juta USD,0.0
Sulawesi Tenggara,2022,Ekspor Non-Migas,Juta USD,11663415.3
Sulawesi Tenggara,2023,Ekspor Migas,Juta USD,0.0
Sulawesi Tenggara,2023,Ekspor Non-Migas,Juta USD,8596253.2
Sulawesi Tenggara,2024,Ekspor Migas,Juta USD,0.0
Sulawesi Tenggara,2024,Ekspor Non-Migas,Juta USD,7716547.3
Sulawesi Tenggara,2025,Ekspor Non-Migas,Juta USD,7447748.4
Sulawesi Tenggara,2026,Ekspor Non-Migas,Juta USD,1907336.7
Sulawesi Utara,2022,Ekspor Migas,Juta USD,0.0
Sulawesi Utara,2022,Ekspor Non-Migas,Juta USD,2239699.2
Sulawesi Utara,2023,Ekspor Migas,Juta USD,0.0
Sulawesi Utara,2023,Ekspor Non-Migas,Juta USD,1777349.9
Sulawesi Utara,2024,Ekspor Migas,Juta USD,0.0
Sulawesi Utara,2024,Ekspor Non-Migas,Juta USD,1678966.4
Sulawesi Utara,2025,Ekspor Non-Migas,Juta USD,2472808.9
Sulawesi Utara,2026,Ekspor Non-Migas,Juta USD,605763.2
