Provinsi,Tahun,Jumlah_Izin_Baru,Total_Luas_Konsesi_Baru_Ha,Sumber
Sulawesi Utara,2014,1,301.44,Minerbaone
Sulawesi Utara,2015,1,8969.0,Minerbaone
Sulawesi Utara,2016,0,0.0,Minerbaone
Sulawesi Utara,2017,1,30848.0,Minerbaone
Sulawesi Utara,2018,0,0.0,Minerbaone
Sulawesi Utara,2019,2,314.94,Minerbaone
Sulawesi Utara,2020,3,46139.0,Minerbaone
Sulawesi Utara,2021,0,0.0,Minerbaone
Sulawesi Utara,2022,0,0.0,Minerbaone
Sulawesi Utara,2023,2,2265.1,Minerbaone
Sulawesi Utara,2024,5,332.88,Minerbaone
Sulawesi Tengah,2014,6,15952.0,Minerbaone
Sulawesi Tengah,2015,3,11612.0,Minerbaone
Sulawesi Tengah,2016,5,6835.0,Minerbaone
Sulawesi Tengah,2017,7,107983.7,Minerbaone
Sulawesi Tengah,2018,7,8724.03,Minerbaone
Sulawesi Tengah,2019,2,2840.0,Minerbaone
Sulawesi Tengah,2020,12,47062.0,Minerbaone
Sulawesi Tengah,2021,17,6952.13,Minerbaone
Sulawesi Tengah,2022,31,37002.12,Minerbaone
Sulawesi Tengah,2023,83,22878.03,Minerbaone
Sulawesi Tengah,2024,87,119283.28,Minerbaone
Sulawesi Selatan,2014,1,10000.0,Minerbaone
Sulawesi Selatan,2015,0,0.0,Minerbaone
Sulawesi Selatan,2016,0,0.0,Minerbaone
Sulawesi Selatan,2017,5,26874.16,Minerbaone
Sulawesi Selatan,2018,5,17355.03,Minerbaone
Sulawesi Selatan,2019,3,29195.0,Minerbaone
Sulawesi Selatan,2020,0,0.0,Minerbaone
Sulawesi Selatan,2021,8,574.4100000000001,Minerbaone
Sulawesi Selatan,2022,10,7399.95,Minerbaone
Sulawesi Selatan,2023,19,13787.14,Minerbaone
Sulawesi Selatan,2024,54,17879.66,Minerbaone
Sulawesi Tenggara,2014,18,23264.71,Minerbaone
Sulawesi Tenggara,2015,1,1758.0,Minerbaone
Sulawesi Tenggara,2016,4,5680.8,Minerbaone
Sulawesi Tenggara,2017,13,13759.2,Minerbaone
Sulawesi Tenggara,2018,10,6910.66,Minerbaone
Sulawesi Tenggara,2019,10,29618.3,Minerbaone
Sulawesi Tenggara,2020,13,13358.83,Minerbaone
Sulawesi Tenggara,2021,13,21882.92,Minerbaone
Sulawesi Tenggara,2022,11,21265.95,Minerbaone
Sulawesi Tenggara,2023,38,29260.69,Minerbaone
Sulawesi Tenggara,2024,29,45957.01,Minerbaone
Gorontalo,2014,0,0.0,Minerbaone
Gorontalo,2015,0,0.0,Minerbaone
Gorontalo,2016,0,0.0,Minerbaone
Gorontalo,2017,0,0.0,Minerbaone
Gorontalo,2018,1,4981.0,Minerbaone
Gorontalo,2019,0,0.0,Minerbaone
Gorontalo,2020,0,0.0,Minerbaone
Gorontalo,2021,1,0.0,Minerbaone
Gorontalo,2022,1,46.3,Minerbaone
Gorontalo,2023,1,173.0,Minerbaone
Gorontalo,2024,3,11.94,Minerbaone
Sulawesi Barat,2014,0,0.0,Minerbaone
Sulawesi Barat,2015,0,0.0,Minerbaone
Sulawesi Barat,2016,0,0.0,Minerbaone
Sulawesi Barat,2017,0,0.0,Minerbaone
Sulawesi Barat,2018,0,0.0,Minerbaone
Sulawesi Barat,2019,0,0.0,Minerbaone
Sulawesi Barat,2020,0,0.0,Minerbaone
Sulawesi Barat,2021,2,1014.0,Minerbaone
Sulawesi Barat,2022,3,413.2,Minerbaone
Sulawesi Barat,2023,6,192.95,Minerbaone
Sulawesi Barat,2024,16,543.08,Minerbaone
